client_id,program_id,exercise_id,exercise_name,day_of_week,week_phase,sets,reps_min,reps_max,rest_seconds,load_progression,form_cues,exercise_order,superset_group,exercise_category,muscle_groups_primary,muscle_groups_secondary,equipment_required,difficulty_level,tempo,notes
9,9003,21,Shoulder Press Machine,Friday,1,2,15,20,90,Conservative 5lb weekly,Adjust seat height • Press straight up • Control the descent,3,,Compound,Shoulders,Triceps,Shoulder Press Machine,Beginner,3-1-1-1,Shoulder mobility and strength
10,10001,22,Bulgarian Split Squats,Monday,1,3,8,12,120,Weekly progression,Rear foot on bench • Vertical torso • Push through front heel,1,,Compound,Quadriceps,Glutes,Dumbbells + Bench,Intermediate,3-1-1-1,Unilateral soccer-specific strength
10,10001,23,Romanian Deadlift (DB),Monday,1,3,8,12,120,Weekly 5lb per DB,Slight knee bend • Push hips back • Feel hamstring stretch,2,,Compound,Hamstrings,Glutes,Dumbbells,Beginner,3-1-1-1,Posterior chain for injury prevention
10,10001,24,Dumbbell Shoulder Press,Monday,1,3,8,12,120,Weekly 2.5lb per DB,Core engaged • Press straight up • Control weight down,3,,Compound,Shoulders,Triceps,Dumbbells,Beginner,3-1-1-1,Overhead pressing power
10,10001,25,Dumbbell Rows (Single Arm),Monday,1,3,10,12,90,Weekly 2.5lb increase,One knee on bench • Pull to hip • Squeeze shoulder blade,4,A,Compound,Lats,Rhomboids,Dumbbells + Bench,Beginner,3-1-1-1,Unilateral back strength
10,10001,26,Lateral Raises,Monday,1,3,12,15,60,Weekly 2.5lb increase,Slight forward lean • Lead with pinkies • Control descent,5,A,Isolation,Side Delts,,Dumbbells,Beginner,3-1-1-2,Shoulder stability superset
10,10002,27,Walking Lunges,Wednesday,1,3,10,12,90,Weekly 2.5lb per DB,Step forward • 90-degree angles • Continuous motion,1,,Compound,Quadriceps,Glutes,Dumbbells,Beginner,Controlled,Soccer-specific movement pattern
10,10002,28,Dumbbell Hip Thrusts,Wednesday,1,3,12,15,90,Weekly 5lb increase,Shoulders on bench • Squeeze glutes at top • Control descent,2,,Compound,Glutes,Hamstrings,Dumbbells + Bench,Beginner,3-1-1-1,Hip power for sprint mechanics
10,10002,29,Bent-over Dumbbell Rows,Wednesday,1,3,8,12,120,Weekly 2.5lb per DB,Hip hinge position • Pull to lower chest • Squeeze blades,3,,Compound,Lats,Rhomboids + Middle Traps,Dumbbells,Beginner,3-1-1-1,Back strength and stability
10,10002,30,Dumbbell Calf Raises,Wednesday,1,3,15,20,60,Weekly 2.5lb per DB,Rise up on toes • Full range • Control descent,4,B,Isolation,Calves,,Dumbbells,Beginner,2-1-1-2,Lower leg power superset
10,10002,31,Hammer Curls,Wednesday,1,3,10,12,60,Weekly 2.5lb per DB,Neutral grip • Don't swing • Control negative,5,B,Isolation,Biceps,Forearms,Dumbbells,Beginner,3-1-1-2,Grip strength superset
10,10003,32,Goblet Squat,Friday,1,3,12,15,90,Weekly 5lb increase,Hold close to chest • Squat between legs • Drive through heels,1,,Compound,Quadriceps,Glutes,Dumbbell,Beginner,3-1-1-1,Movement quality focus
10,10003,33,Dumbbell Step-ups,Friday,1,3,8,10,120,Weekly 2.5lb per DB,Full foot on platform • Don't push off back foot • Alternate legs,2,,Compound,Quadriceps,Glutes,Dumbbells + Platform,Beginner,3-1-1-1,Single leg power development
10,10003,34,Rear Delt Flyes,Friday,1,3,12,15,60,Weekly 2.5lb per DB,Bend over 45 degrees • Squeeze shoulder blades • Control negative,3,C,Isolation,Rear Delts,Rhomboids,Dumbbells,Beginner,3-1-1-2,Shoulder health superset
10,10003,35,Tricep Extensions (Overhead),Friday,1,3,10,12,60,Weekly 2.5lb increase,Keep elbows still • Full tricep stretch • Press back up,4,C,Isolation,Triceps,,Dumbbell,Beginner,3-1-1-2,Overhead pressing support
11,11001,36,Conventional Deadlift,Monday,1,3,8,10,180,Moderate weekly increase,Feet hip-width • Chest up • Drive through heels • Bar close,1,,Compound,Hamstrings,Glutes + Lower Back,Barbell,Intermediate,3-1-1-1,Stress relief through compound lifting
11,11001,37,Standard Push-ups,Monday,1,3,10,12,120,Weekly rep increase,Hands under shoulders • Straight body line • Control movement,2,,Compound,Chest,Triceps + Shoulders,None,Beginner,3-1-1-1,No equipment backup option
11,11001,38,Bent-over Barbell Row,Monday,1,3,8,10,150,Moderate weekly increase,Hip hinge • Neutral spine • Pull to sternum • Squeeze blades,3,,Compound,Lats,Rhomboids + Middle Traps,Barbell,Intermediate,3-1-1-1,Posture correction for desk work
11,11002,39,Barbell Back Squat,Wednesday,1,3,8,10,180,Moderate weekly increase,Feet shoulder-width • Chest up • Knees track over toes,1,,Compound,Quadriceps,Glutes,Barbell + Squat Rack,Intermediate,3-1-1-1,Foundation movement
11,11002,40,Barbell Bench Press,Wednesday,1,3,8,10,180,Moderate weekly increase,Retract shoulder blades • Control descent • Full extension,2,,Compound,Chest,Triceps + Shoulders,Barbell + Bench,Intermediate,3-1-1-1,Upper body strength
11,11002,41,Romanian Deadlift (Barbell),Wednesday,1,3,10,12,120,Weekly 5lb increase,Push hips back • Feel hamstring stretch • Drive hips forward,3,,Compound,Hamstrings,Glutes,Barbell,Intermediate,3-1-1-1,Posterior chain development
11,11003,42,Overhead Press (Military),Friday,1,3,8,10,150,Weekly 2.5lb increase,Core braced • Press straight up • Lock out overhead,1,,Compound,Shoulders,Triceps,Barbell,Intermediate,3-1-1-1,Functional overhead strength
11,11003,43,Pull-ups,Friday,1,3,6,8,180,Weekly rep progression,Full hang • Pull chest to bar • Control descent • Engage lats,2,,Compound,Lats,Biceps,Pull-up Bar,Advanced,3-1-1-2,Bodyweight progression
11,11003,44,Barbell Curl,Friday,1,3,10,12,90,Weekly 2.5lb increase,Stand tall • Elbows at sides • Squeeze biceps • Control negative,3,,Isolation,Biceps,,Barbell,Beginner,3-1-1-1,Arm development
12,12001,45,Goblet Squat,Monday,1,2,8,12,90,Movement quality focus,Hold close to chest • Chest up • Full depth • Heels down,1,,Compound,Quadriceps,Glutes,Dumbbell,Beginner,4-1-1-2,Youth movement development
12,12001,46,Standard Push-ups,Monday,1,2,8,15,90,Weekly rep progression,Perfect form • Straight line • Control both directions,2,,Compound,Chest,Triceps + Shoulders,None,Beginner,3-1-1-2,Bodyweight foundation
12,12001,47,Inverted Rows,Monday,1,2,8,12,90,Weekly rep progression,Body straight • Pull chest to bar • Squeeze shoulder blades,3,,Compound,Lats,Rhomboids,Bar/TRX,Intermediate,3-1-1-2,Pulling pattern development
12,12001,48,Dumbbell Shoulder Press,Monday,1,2,8,12,90,Light weight progression,Seated • Core engaged • Control both directions,4,,Compound,Shoulders,Triceps,Dumbbells,Beginner,3-1-1-2,Overhead development
12,12002,49,Romanian Deadlift (DB),Wednesday,1,2,10,15,90,Movement pattern focus,Light weight • Hip hinge • Feel hamstring stretch,1,,Compound,Hamstrings,Glutes,Dumbbells,Beginner,4-1-1-2,Hip hinge pattern
12,12002,50,Incline Push-ups,Wednesday,1,2,10,15,60,Weekly rep progression,Hands elevated • Body straight • Full range,2,,Compound,Chest,Triceps,Bench/Step,Beginner,3-1-1-1,Push-up progression
12,12002,51,Dumbbell Rows (Single Arm),Wednesday,1,2,8,12,60,Light progression,Perfect form • Pull to hip • Squeeze blade,3,,Compound,Lats,Rhomboids,Dumbbells + Bench,Beginner,3-1-1-2,Unilateral development
12,12002,52,Lateral Raises,Wednesday,1,2,10,15,60,Light weight only,Perfect form • Control • No momentum,4,,Isolation,Side Delts,,Dumbbells,Beginner,3-1-1-3,Shoulder stability
12,12003,53,Dumbbell Lunges,Friday,1,2,8,10,90,Bodyweight first,Step forward • 90-degree angles • Perfect balance,1,,Compound,Quadriceps,Glutes,Dumbbells,Beginner,4-1-1-2,Single leg development
12,12003,54,Wide-Grip Push-ups,Friday,1,2,6,10,90,Form focused,Wider hand position • Chest emphasis • Control,2,,Compound,Chest,Triceps,None,Beginner,3-1-1-2,Push-up variation
12,12003,55,Hammer Curls,Friday,1,2,10,12,60,Light weights,Neutral grip • No swing • Perfect form,3,,Isolation,Biceps,Forearms,Dumbbells,Beginner,3-1-1-2,Arm development
12,12003,56,Tricep Extensions (Overhead),Friday,1,2,8,12,60,Very light weight,Both hands • Keep elbows still • Full range,4,,Isolation,Triceps,,Dumbbell,Beginner,3-1-1-2,Tricep development
13,13001,57,Romanian Deadlift (DB),Tuesday,1,2,15,20,90,Endurance progression,Light weight • Hip hinge • Hamstring focus,1,,Compound,Hamstrings,Glutes,Dumbbells,Beginner,3-1-1-1,Running injury prevention
13,13001,58,Dumbbell Hip Thrusts,Tuesday,1,2,15,20,90,Weekly 5lb increase,Shoulders on bench • Glute squeeze • Hip extension,2,,Compound,Glutes,Hamstrings,Dumbbells + Bench,Beginner,3-1-1-1,Running power development
13,13001,59,Bulgarian Split Squats,Tuesday,1,3,12,15,90,Bodyweight to light DB,Rear foot elevated • Single leg focus • Balance,3,,Compound,Quadriceps,Glutes,Dumbbells + Bench,Intermediate,3-1-1-1,Unilateral leg strength
13,13002,60,Cable Crunches,Thursday,1,2,15,20,60,Core endurance,Kneel facing machine • Crunch down • Focus on abs,1,,Isolation,Abs,,Cable Machine,Beginner,2-1-1-2,Core stability for running
13,13002,61,Lateral Raises,Thursday,1,2,15,20,60,Light endurance,Perfect form • Control • Endurance focus,2,,Isolation,Side Delts,,Dumbbells,Beginner,2-1-1-2,Shoulder stability
13,13002,62,Dumbbell Calf Raises,Thursday,1,3,20,25,60,Single leg option,Rise on toes • Full range • Control descent,3,,Isolation,Calves,,Dumbbells,Beginner,2-1-1-2,Running-specific calf strength
14,14001,63,Dumbbell Hip Thrusts,Monday,1,2,12,15,120,Very conservative,Shoulders on bench • Pain-free range • Glute focus,1,,Compound,Glutes,Hamstrings,Dumbbells + Bench,Beginner,4-1-1-2,Post-injury hip strength
14,14001,64,Incline Push-ups,Monday,1,2,12,20,90,Supported variation,Hands elevated • Reduce back stress • Control,2,,Compound,Chest,Triceps,Bench/Step,Beginner,4-1-1-2,Back-friendly pushing
14,14001,65,Cable Rows (Seated),Monday,1,2,15,20,90,Light resistance,Sit tall • Pull to chest • Posterior chain,3,,Compound,Lats,Rhomboids + Middle Traps,Cable Machine,Beginner,3-1-1-2,Back strengthening
14,14002,66,Goblet Squat,Wednesday,1,2,12,15,120,Light weight only,Hold close • Pain-free depth • Core engagement,1,,Compound,Quadriceps,Glutes,Dumbbell,Beginner,4-1-2-2,Functional squat pattern
14,14002,67,Dumbbell Shoulder Press,Wednesday,1,2,12,15,90,Seated version,Seated • Back support • Light weight,2,,Compound,Shoulders,Triceps,Dumbbells,Beginner,3-1-1-2,Supported shoulder work
14,14002,68,Romanian Deadlift (DB),Wednesday,1,2,15,20,90,Very light weight,Hip hinge • No back stress • Hamstring feel,3,,Compound,Hamstrings,Glutes,Dumbbells,Beginner,4-1-2-2,Hip hinge retraining
14,14003,69,Dumbbell Rows (Single Arm),Friday,1,2,12,15,90,Chest supported,Support chest • Light weight • Perfect form,1,,Compound,Lats,Rhomboids,Dumbbells + Bench,Beginner,3-1-1-2,Supported rowing
14,14003,70,Wall Sits,Friday,1,2,20,30,90,Isometric hold,Back against wall • Thighs parallel • Hold position,2,,Isometric,Quadriceps,Glutes,None,Beginner,Static hold,Back-friendly leg exercise
14,14003,71,Dumbbell Calf Raises,Friday,1,2,15,20,60,Light weight,Both feet • Full range • Control,3,,Isolation,Calves,,Dumbbells,Beginner,2-1-1-2,Lower leg strength
15,15001,72,Leg Extension,Monday,1,4,8,12,90,Quad isolation focus,Adjust seat • Full range • Squeeze quads at top,1,,Isolation,Quadriceps,,Leg Extension Machine,Beginner,3-1-1-2,Contest prep quad detail
15,15001,73,Leg Curl (Lying),Monday,1,4,10,15,90,Hamstring isolation,Lie face down • Curl heels to glutes • Squeeze hams,2,,Isolation,Hamstrings,,Leg Curl Machine,Beginner,3-1-1-2,Hamstring detail
15,15001,74,Leg Press,Monday,1,4,12,20,90,High volume quad work,Feet shoulder-width • Full range • Control descent,3,,Compound,Quadriceps,Glutes,Leg Press Machine,Beginner,3-1-1-1,Quad mass and detail
15,15001,75,Calf Press (Leg Press),Monday,1,4,15,25,60,Calf detail,Feet on edge • Press with toes • Full range,4,,Isolation,Calves,,Leg Press Machine,Beginner,2-1-1-2,Calf definition
15,15002,76,Incline Dumbbell Press,Tuesday,1,4,8,12,120,Upper chest focus,30-45 degree incline • Full range • Press up and together,1,,Compound,Upper Chest,Shoulders,Dumbbells + Incline Bench,Beginner,3-1-1-1,Contest prep chest shape
15,15002,77,Dumbbell Flyes,Tuesday,1,4,10,15,90,Chest isolation,Slight elbow bend • Arc motion • Feel stretch,2,,Isolation,Chest,,Dumbbells + Bench,Beginner,3-1-2-1,Chest detail and separation
15,15002,78,Incline Dumbbell Flyes,Tuesday,1,4,12,15,90,Upper chest isolation,30-45 incline • Arc motion • Upper chest focus,3,,Isolation,Upper Chest,,Dumbbells + Incline Bench,Beginner,3-1-2-1,Upper chest detail
15,15002,79,Cable Crossovers,Tuesday,1,4,12,20,60,Chest finishing,Stand between cables • Pull together • Squeeze chest,4,,Isolation,Chest,,Cable Machine,Beginner,2-1-2-1,Chest definition finisher
15,15003,80,Lateral Raise Machine,Wednesday,1,4,12,20,60,Side delt isolation,Adjust seat • Arms parallel • Lead with pinkies,1,,Isolation,Side Delts,,Lateral Raise Machine,Beginner,2-1-1-2,Shoulder width contest prep
15,15003,81,Cable Lateral Raises,Wednesday,1,4,12,15,60,Side delt variation,Stand sideways • Raise to shoulder • Control descent,2,,Isolation,Side Delts,,Cable Machine,Beginner,2-1-1-2,Shoulder detail
15,15003,82,Rear Delt Flyes,Wednesday,1,4,15,20,60,Rear delt detail,Bend over • Squeeze shoulder blades • Rear delt focus,3,,Isolation,Rear Delts,Rhomboids,Dumbbells,Beginner,2-1-1-2,Rear delt separation
15,15003,83,Cable Face Pulls,Wednesday,1,4,15,20,60,Rear delt/rhomboid,Pull to face • Separate at face • Squeeze rear delts,4,,Isolation,Rear Delts,Rhomboids,Cable Machine,Beginner,2-1-1-2,Rear delt detail finisher
15,15004,84,Cable Bicep Curls,Thursday,1,4,10,15,60,Bicep peak,Stand at cable • Elbows at sides • Squeeze biceps,1,,Isolation,Biceps,,Cable Machine,Beginner,3-1-1-2,Contest prep arm detail
15,15004,85,Hammer Curls,Thursday,1,4,10,12,60,Bicep thickness,Neutral grip • Control negative • Don't swing,2,,Isolation,Biceps,Forearms,Dumbbells,Beginner,3-1-1-2,Bicep width
15,15004,86,Cable Tricep Pushdowns,Thursday,1,4,10,15,60,Tricep definition,Elbows at sides • Push straight down • Squeeze triceps,3,,Isolation,Triceps,,Cable Machine,Beginner,2-1-1-2,Tricep detail
15,15004,87,Cable Overhead Tricep Extension,Thursday,1,4,12,15,60,Tricep stretch,Face away • Lower behind head • Full stretch,4,,Isolation,Triceps,,Cable Machine,Beginner,3-1-1-2,Tricep length and detail
15,15005,88,Cable Crunches,Friday,1,4,15,25,60,Ab definition,Kneel facing machine • Crunch down • Focus on abs,1,,Isolation,Abs,,Cable Machine,Beginner,2-1-1-2,Contest prep core detail
15,15005,89,Cable Wood Chops,Friday,1,4,12,15,60,Oblique definition,Stand sideways • Rotate across body • Feel obliques,2,,Isolation,Core,Obliques,Cable Machine,Intermediate,2-1-1-2,Oblique detail for contest
15,15005,90,Hip Abduction Machine,Friday,1,4,15,20,60,Glute detail,Sit in machine • Push legs apart • Squeeze glutes,3,,Isolation,Hip Abductors,Glutes,Hip Abduction Machine,Beginner,2-1-1-2,Glute shape and detail
15,15005,91,Calf Raise Machine,Friday,1,4,20,30,60,Calf definition,Shoulders under pads • Full range • Squeeze at top,4,,Isolation,Calves,,Calf Raise Machine,Beginner,2-1-1-3,Contest prep calf detail
